first_purchase_year;birth_year;gender;loyalty_store;id_customer
2020;1953;M;1156;21169
2019;1970;M;1018;21172
2018;1949;F;1038;21173
2018;1965;F;1065;21174
2020;1956;F;1164;21177
1983;1948;F;1022;21178
2003;1971;M;1038;21179
2020;1929;M;1177;21180
2020;1940;F;1160;21184
2020;1964;F;1166;21185
2002;1973;M;1027;21192
2021;1949;M;1047;21197
2021;1985;M;1042;21198
2021;1958;M;1074;21200
2022;1966;M;1037;21201
2020;1965;F;1047;21205
2020;1949;F;1167;21207
2020;1951;F;1158;21211
2017;1945;F;1028;21213
2021;1969;F;1022;21214
1975;1939;F;1015;21215
1997;1947;M;1018;21222
2018;1961;F;1041;21223
2014;1965;M;1205;21224
1982;1957;F;1022;21228
1990;1943;M;1035;21232
1988;1949;F;1033;21238
1999;1968;F;1029;21244
2021;1944;F;1046;21245
1997;1947;M;1035;21253
2014;1977;F;1038;21257
2002;1969;F;1207;21258
2020;1962;F;1179;21261
2020;1942;F;1180;21262
2020;1950;F;1184;21263
2012;1991;F;1023;21265
1985;1957;M;1035;21266
2003;1968;M;1208;21270
1996;1966;M;1018;21271
2003;1957;F;1206;21273
2013;1988;M;1028;21281
2011;1984;M;1205;21287
1990;1943;M;1025;21288
2008;1950;M;1073;21289
2020;1975;F;1022;21293
2018;1948;F;1043;21297
2004;1976;F;1029;21298
1985;1945;F;1058;21304
2002;1975;M;1208;21307
2020;1947;M;1184;21308
1999;1953;F;1095;21310
2016;1971;F;1208;21312
2020;1956;F;1158;21315
2012;1972;M;1033;21316
2014;1961;F;1059;21318
2013;1977;F;1261;21319
2018;1954;M;1029;21320
2018;1956;M;1015;21321
2000;1950;F;1022;21322
2000;1976;F;1208;21325
1988;1951;F;1033;21326
1987;1957;M;1015;21334
2020;1952;M;1160;21335
2013;1972;F;1261;11136
2013;1968;F;1261;11138
1997;1967;F;1208;11141
2019;1961;M;1252;11143
2007;1974;M;1202;11145
2002;1938;M;1206;11148
1990;1966;M;1095;11150
2014;1995;F;1251;11154
2000;1965;F;1203;11156
1993;1936;F;1201;11163
2019;1981;M;1207;11167
2003;1975;F;1203;11169
2004;1961;F;1202;11177
2013;1975;M;1261;11179
2002;1952;F;1205;11182
2016;1975;M;1252;11189
2012;1983;M;1251;11191
1997;1963;F;1018;11192
1999;1968;F;1216;11194
2020;1954;F;1261;11196
1999;1976;F;1205;11197
2014;1964;F;1203;11202
2013;1974;M;1201;11203
1998;1971;F;1095;11209
1994;1952;F;1203;11214
2000;1954;F;1202;11216
2020;1977;F;1202;11217
2015;1975;F;1202;11220
2000;1961;M;1252;11225
2003;1956;F;1202;11226
2013;1971;M;1261;11231
1989;1962;F;1033;11232
2017;1965;F;1251;11233
2013;1986;M;1261;11238
2016;1966;F;1009;11239
1998;1956;F;1204;11248
2013;1957;F;1261;11249
1980;1944;M;1035;11250
2018;1976;M;1252;11251
1988;1932;F;1201;11252
2020;1976;F;1201;11253
2016;1966;M;1216;11257
2001;1962;F;1018;11258
1993;1942;M;1201;11259
2020;1956;M;1252;11263
1977;1944;M;1021;11268
1999;1955;F;1203;11269
1999;1963;F;1203;11270
2000;1972;F;1203;11273
2009;1944;M;1208;11274
2013;1983;F;1201;11280
2000;1981;F;1203;11283
1972;1949;M;1203;11284
2016;1961;F;1261;11285
2014;1977;F;1203;11286
2017;1980;F;1205;11287
2016;1973;M;1251;11290
2020;1993;M;1250;11291
2016;1960;M;1261;11294
2003;1968;F;1208;11296
2013;1973;M;1262;11300
2011;1952;F;1252;11301
2010;1974;F;1250;11302
2015;1973;M;1261;11303
2014;1982;M;1208;11304
2000;1955;M;1252;11305
1999;1938;M;1201;11309
